,date,빈폴,빈폴_absolute
1436,2022-12-07,6.82328,5882.020750818133
1437,2022-12-08,6.34383,5468.71001917884
1438,2022-12-09,6.13818,5291.429068169099
1439,2022-12-10,6.8687,5921.175143207447
1440,2022-12-11,7.92222,6829.363947038145
1441,2022-12-12,6.90655,5953.803803531877
1442,2022-12-13,6.658,5739.540830648476
1443,2022-12-14,6.71225,5786.307140360504
1444,2022-12-15,6.32617,5453.486184533414
1445,2022-12-16,6.25804,5394.754595949443
1446,2022-12-17,7.33553,6323.606781232625
1447,2022-12-18,7.83012,6749.968977001689
1448,2022-12-19,7.2838,6279.012842036253
1449,2022-12-20,6.88384,5934.226607337219
1450,2022-12-21,9.92707,8557.648482082543
1451,2022-12-22,11.67831,10067.30806217639
1452,2022-12-23,8.42186,7260.07950435644
1453,2022-12-24,8.13293,7011.006880115036
1454,2022-12-25,8.90887,7679.907347542699
1455,2022-12-26,7.09833,6119.128096187594
1456,2022-12-27,6.49398,5598.1470957366455
1457,2022-12-28,6.51921,5619.8966624469585
1458,2022-12-29,6.30977,5439.348535145815
1459,2022-12-30,6.80562,5866.796916172707
1460,2022-12-31,7.56264,6519.387363697115
1461,2023-01-01,7.30399,6296.417667715254
1462,2023-01-02,7.30777,6299.676223488737
1463,2023-01-03,7.28254,6277.926656778425
1464,2023-01-04,6.84978,5904.865123304193
1465,2023-01-05,6.50659,5609.017568832843
1466,2023-01-06,6.32491,5452.399999275586
1467,2023-01-07,6.85356,5908.123679077677
1468,2023-01-08,7.73549,6668.393015931659
1469,2023-01-09,6.49019,5594.879919445244
1470,2023-01-10,6.21009,5353.419212526554
1471,2023-01-11,5.6663,4884.644068594692
1472,2023-01-12,5.70037,4914.014173145638
1473,2023-01-13,5.81897,5016.253515668153
1474,2023-01-14,6.83716,5893.986029690077
1475,2023-01-15,7.15637,6169.161582191024
1476,2023-01-16,6.37538,5495.90775321413
1477,2023-01-17,5.71929,4930.324193048892
1478,2023-01-18,5.27643,4548.5559364762
1479,2023-01-19,4.92694,4247.277455715711
1480,2023-01-20,4.61656,3979.7138205374777
1481,2023-01-21,4.79573,4134.167640096998
1482,2023-01-22,5.24111,4518.108267185346
