,date,에디션,에디션_absolute
1428,2022-11-29,0.47462,756.6138918160492
1429,2022-11-30,0.49632,791.2068745230744
1430,2022-12-01,0.56142,894.9858226441498
1431,2022-12-02,1.04515,1666.1223906104756
1432,2022-12-03,0.58942,939.6219293628919
1433,2022-12-04,0.70073,1117.066395036577
1434,2022-12-05,0.56772,905.0289466558668
1435,2022-12-06,0.48652,775.5842371715147
1436,2022-12-07,0.56492,900.5653359839926
1437,2022-12-08,0.55512,884.9426986324328
1438,2022-12-09,0.49282,785.6273611832316
1439,2022-12-10,0.51242,816.8726358863511
1440,2022-12-11,0.54742,872.6677692847787
1441,2022-12-12,0.52572,838.0747865777536
1442,2022-12-13,0.54812,873.7836719527473
1443,2022-12-14,0.52502,836.9588839097851
1444,2022-12-15,0.48022,765.5411131597976
1445,2022-12-16,0.56632,902.7971413199298
1446,2022-12-17,0.50052,797.9022905308857
1447,2022-12-18,0.54462,868.2041586129045
1448,2022-12-19,0.41862,667.341678378565
1449,2022-12-20,0.46202,736.5276437926153
1450,2022-12-21,0.50402,803.4818038707285
1451,2022-12-22,0.49982,796.7863878629171
1452,2022-12-23,0.53622,854.813326597282
1453,2022-12-24,0.58522,932.9265133550805
1454,2022-12-25,0.64683,1031.1418896029986
1455,2022-12-26,0.51942,828.0316625660366
1456,2022-12-27,0.47322,754.3820864801121
1457,2022-12-28,0.43472,693.0074397418417
1458,2022-12-29,0.38291,610.4147008454836
1459,2022-12-30,0.36261,578.0535234743955
1460,2022-12-31,0.32831,523.3742927439365
1461,2023-01-01,0.36751,585.8648421501754
1462,2023-01-02,0.38011,605.9510901736094
1463,2023-01-03,0.34441,549.0400541072132
1464,2023-01-04,0.40112,639.4441116793512
1465,2023-01-05,0.36401,580.2853288103327
1466,2023-01-06,0.36821,586.980744818144
1467,2023-01-07,0.39551,630.5009488689175
1468,2023-01-08,0.40812,650.6031383590367
1469,2023-01-09,0.36051,574.7058154704899
1470,2023-01-10,0.38081,607.0669928415779
1471,2023-01-11,0.39691,632.7327542048546
1472,2023-01-12,0.40952,652.8349436949738
1473,2023-01-13,0.39551,630.5009488689175
1474,2023-01-14,0.37801,602.6033821697038
1475,2023-01-15,0.40182,640.5600143473198
1476,2023-01-16,0.46692,744.3389624683952
1477,2023-01-17,0.38361,611.5306035134522
1478,2023-01-18,0.38221,609.298798177515
1479,2023-01-19,0.62303,993.2011988920676
1480,2023-01-20,0.39481,629.385046200949
1481,2023-01-21,0.35211,561.3149834548673
1482,2023-01-22,0.31081,495.4767260447226
1483,2023-01-23,0.37591,599.255674165798
1484,2023-01-24,0.33391,532.3015140876848
1485,2023-01-25,0.37241,593.6761608259553
1486,2023-01-26,0.39551,630.5009488689175
1487,2023-01-27,0.36121,575.8217181384584
1488,2023-01-28,0.37941,604.8351875056409
1489,2023-01-29,0.39271,626.0373381970434
1490,2023-01-30,0.36961,589.2125501540811
1491,2023-01-31,0.35211,561.3149834548673
1492,2023-02-01,0.32971,525.6060980798736
1493,2023-02-02,0.40182,640.5600143473198
1494,2023-02-03,0.40672,648.3713330230997
1495,2023-02-04,0.39621,631.6168515368861
1496,2023-02-05,0.35981,573.5899128025213
1497,2023-02-06,0.37941,604.8351875056409
1498,2023-02-07,0.41022,653.9508463629423
1499,2023-02-08,0.40182,640.5600143473198
1500,2023-02-09,0.42842,682.9643157301248
1501,2023-02-10,0.35981,573.5899128025213
1502,2023-02-11,0.37871,603.7192848376723
1503,2023-02-12,0.43962,700.8187584176217
1504,2023-02-13,0.40532,646.1395276871625
1505,2023-02-14,0.45992,733.1799357887096
1506,2023-02-15,0.46902,747.6866704723009
1507,2023-02-16,0.40672,648.3713330230997
1508,2023-02-17,0.37451,597.0238688298609
1509,2023-02-18,0.44172,704.1664664215273
1510,2023-02-19,0.42352,675.152997054345
1511,2023-02-20,0.38641,615.9942141853263
1512,2023-02-21,0.40182,640.5600143473198
1513,2023-02-22,0.39901,636.0804622087603
1514,2023-02-23,0.33881,540.1128327634648
1515,2023-02-24,0.35631,568.0103994626786
1516,2023-02-25,0.41932,668.4575810465336
1517,2023-02-26,0.47252,753.2661838121436
1518,2023-02-27,0.38641,615.9942141853263
1519,2023-02-28,0.37871,603.7192848376723
1520,2023-03-01,0.42562,678.5007050582506
1521,2023-03-02,0.40672,648.3713330230997
1522,2023-03-03,0.38361,611.5306035134522
1523,2023-03-04,0.50192,800.1340958668229
1524,2023-03-05,0.49002,781.1637505113574
1525,2023-03-06,0.40042,638.3282090113827
1526,2023-03-07,0.44732,713.0936877652757
1527,2023-03-08,0.39551,630.5009488689175
1528,2023-03-09,0.42562,678.5007050582506
1529,2023-03-10,0.39481,629.385046200949
1530,2023-03-11,0.37661,600.3715768337667
1531,2023-03-12,0.43472,693.0074397418417
1532,2023-03-13,0.38641,615.9942141853263
1533,2023-03-14,0.41442,660.6462623707538
1534,2023-03-15,0.35351,563.5467887908044
1535,2023-03-16,0.44312,706.3982717574644
1536,2023-03-17,0.37101,591.4443554900182
1537,2023-03-18,0.37731,601.4874795017352
1538,2023-03-19,0.41302,658.4144570348166
1539,2023-03-20,0.42912,684.0802183980933
1540,2023-03-21,0.44032,701.9346610855902
1541,2023-03-22,0.44662,711.9777850973072
1542,2023-03-23,0.45292,722.0209091090242
1543,2023-03-24,0.40322,642.7918196832569
1544,2023-03-25,0.41722,665.1098730426279
1545,2023-03-26,0.50472,804.5977065386969
1546,2023-03-27,0.43192,688.5438290699676
1547,2023-03-28,0.41232,657.2985543668481
1548,2023-03-29,0.42352,675.152997054345
1549,2023-03-30,0.43962,700.8187584176217
1550,2023-03-31,0.42492,677.3848023902821
1551,2023-04-01,0.45992,733.1799357887096
1552,2023-04-02,0.59432,947.4332480386716
1553,2023-04-03,0.44382,707.5141744254329
1554,2023-04-04,0.44032,701.9346610855902
1555,2023-04-05,0.63493,1012.1715442475331
1556,2023-04-06,0.44872,715.3254931012128
1557,2023-04-07,0.41582,662.8780677066909
1558,2023-04-08,0.39481,629.385046200949
1559,2023-04-09,0.44452,708.6300770934015
1560,2023-04-10,0.40882,651.7190410270053
1561,2023-04-11,0.39411,628.2691435329805
1562,2023-04-12,0.42422,676.2688997223134
1563,2023-04-13,0.39341,627.1532408650119
1564,2023-04-14,0.39901,636.0804622087603
1565,2023-04-15,0.40672,648.3713330230997
1566,2023-04-16,0.42842,682.9643157301248
1567,2023-04-17,0.37661,600.3715768337667
1568,2023-04-18,0.41932,668.4575810465336
1569,2023-04-19,0.45222,720.9050064410555
1570,2023-04-20,0.37871,603.7192848376723
1571,2023-04-21,0.36191,576.937620806427
1572,2023-04-22,0.40182,640.5600143473198
1573,2023-04-23,0.44312,706.3982717574644
1574,2023-04-24,0.37031,590.3284528220496
1575,2023-04-25,0.39061,622.6896301931376
1576,2023-04-26,0.33671,536.7651247595592
1577,2023-04-27,0.35841,571.3581074665842
1578,2023-04-28,0.37941,604.8351875056409
1579,2023-04-29,0.38291,610.4147008454836
1580,2023-04-30,0.35351,563.5467887908044
1581,2023-05-01,0.39761,633.8486568728232
1582,2023-05-02,0.37031,590.3284528220496
1583,2023-05-03,0.36191,576.937620806427
1584,2023-05-04,0.34651,552.3877621111188
1585,2023-05-05,0.38851,619.341922189232
1586,2023-05-06,0.40882,651.7190410270053
1587,2023-05-07,0.38921,620.4578248572005
1588,2023-05-08,0.38781,618.2260195212634
1589,2023-05-09,0.37101,591.4443554900182
1590,2023-05-10,0.35351,563.5467887908044
1591,2023-05-11,0.37871,603.7192848376723
1592,2023-05-12,0.35631,568.0103994626786
1593,2023-05-13,0.35351,563.5467887908044
1594,2023-05-14,0.37941,604.8351875056409
1595,2023-05-15,0.40462,645.0236250191939
1596,2023-05-16,0.41582,662.8780677066909
1597,2023-05-17,0.40112,639.4441116793512
1598,2023-05-18,0.37661,600.3715768337667
1599,2023-05-19,0.34651,552.3877621111188
1600,2023-05-20,0.56982,908.3766546597724
1601,2023-05-21,0.46972,748.8025731402694
1602,2023-05-22,0.40112,639.4441116793512
1603,2023-05-23,0.40672,648.3713330230997
1604,2023-05-24,0.39551,630.5009488689175
1605,2023-05-25,0.37101,591.4443554900182
1606,2023-05-26,0.37031,590.3284528220496
1607,2023-05-27,0.39411,628.2691435329805
1608,2023-05-28,0.35001,557.9672754509616
1609,2023-05-29,0.38151,608.1828955095465
1610,2023-05-30,0.40042,638.3282090113827
1611,2023-05-31,0.38221,609.298798177515
1612,2023-06-01,0.36191,576.937620806427
1613,2023-06-02,0.32621,520.0265847400308
1614,2023-06-03,0.37871,603.7192848376723
1615,2023-06-04,0.32621,520.0265847400308
1616,2023-06-05,0.34651,552.3877621111188
1617,2023-06-06,0.35001,557.9672754509616
1618,2023-06-07,0.39481,629.385046200949
1619,2023-06-08,0.33601,535.6492220915906
1620,2023-06-09,0.30731,489.89721270487996
1621,2023-06-10,0.31641,504.4039473884711
1622,2023-06-11,0.30101,479.8540886931629
1623,2023-06-12,0.29191,465.34735400957175
1624,2023-06-13,0.35141,560.1990807868987
1625,2023-06-14,0.32691,521.1424874079993
1626,2023-06-15,0.30941,493.24492070878557
1627,2023-06-16,0.30101,479.8540886931629
1628,2023-06-17,0.28771,458.65193800176047
1629,2023-06-18,0.33041,526.7220007478421
1630,2023-06-19,0.32761,522.2583900759679
1631,2023-06-20,0.33741,537.8810274275277
1632,2023-06-21,0.32901,524.4901954119051
1633,2023-06-22,0.34231,545.6923461033075
1634,2023-06-23,0.54532,869.3200612808731
1635,2023-06-24,0.34861,555.7354701150244
1636,2023-06-25,0.37591,599.255674165798
1637,2023-06-26,0.29961,477.6222833572258
1638,2023-06-27,0.32901,524.4901954119051
1639,2023-06-28,0.35561,566.89449679471
1640,2023-06-29,0.36261,578.0535234743955
1641,2023-06-30,0.31711,505.5198500564396
1642,2023-07-01,0.28981,461.9996460056661
1643,2023-07-02,0.33951,541.2287354314333
1644,2023-07-03,0.36471,581.4012314783012
1645,2023-07-04,0.34301,546.808248771276
1646,2023-07-05,0.28911,460.88374333769747
1647,2023-07-06,0.31081,495.4767260447226
1648,2023-07-07,0.28001,446.3770086541063
1649,2023-07-08,0.29401,468.6950620134774
1650,2023-07-09,0.29331,467.57915934550886
1651,2023-07-10,0.27791,443.0293006502007
1652,2023-07-11,0.31571,503.2880447205025
1653,2023-07-12,0.34791,554.6195674470559
1654,2023-07-13,0.33321,531.1856114197163
1655,2023-07-14,0.30241,482.0858940291001
1656,2023-07-15,0.30031,478.7381860251944
1657,2023-07-16,0.28771,458.65193800176047
1658,2023-07-17,0.30451,485.4336020330057
1659,2023-07-18,0.36121,575.8217181384584
1660,2023-07-19,0.35841,571.3581074665842
1661,2023-07-20,0.29401,468.6950620134774
1662,2023-07-21,0.59432,947.4332480386716
1663,2023-07-22,0.35001,557.9672754509616
1664,2023-07-23,0.33671,536.7651247595592
1665,2023-07-24,0.34931,556.851372782993
1666,2023-07-25,0.31641,504.4039473884711
1667,2023-07-26,0.34861,555.7354701150244
1668,2023-07-27,0.32201,513.3311687322196
1669,2023-07-28,0.33251,530.0697087517477
1670,2023-07-29,0.31361,499.94033671659685
1671,2023-07-30,0.31431,501.0562393845654
1672,2023-07-31,0.33461,533.4174167556534
1673,2023-08-01,0.33181,528.9538060837792
1674,2023-08-02,0.30381,484.3176993650372
1675,2023-08-03,0.32621,520.0265847400308
1676,2023-08-04,0.28701,457.53603533379186
1677,2023-08-05,0.27161,432.98617663848376
1678,2023-08-06,0.32691,521.1424874079993
1679,2023-08-07,0.30381,484.3176993650372
1680,2023-08-08,0.32691,521.1424874079993
1681,2023-08-09,0.29961,477.6222833572258
1682,2023-08-10,0.29401,468.6950620134774
1683,2023-08-11,0.28561,455.30422999785475
1684,2023-08-12,0.27371,436.33388464238936
1685,2023-08-13,0.27091,431.87027397051514
1686,2023-08-14,0.25761,410.66812327911265
1687,2023-08-15,0.29961,477.6222833572258
1688,2023-08-16,0.38011,605.9510901736094
1689,2023-08-17,0.27931,445.2611059861378
1690,2023-08-18,0.28351,451.9565219939491
1691,2023-08-19,0.26181,417.3635392869239
1692,2023-08-20,0.28071,447.4929113220749
1693,2023-08-21,0.28771,458.65193800176047
1694,2023-08-22,0.25271,402.85680460333276
1695,2023-08-23,0.33531,534.533319423622
1696,2023-08-24,0.29401,468.6950620134774
1697,2023-08-25,0.29121,464.23145134160325
1698,2023-08-26,0.26181,417.3635392869239
1699,2023-08-27,0.26601,424.0589552947353
1700,2023-08-28,0.30521,486.5495047009742
1701,2023-08-29,0.30031,478.7381860251944
1702,2023-08-30,0.29751,474.27457535332013
1703,2023-08-31,0.28421,453.0724246619177
1704,2023-09-01,0.25831,411.7840259470812
1705,2023-09-02,0.26601,424.0589552947353
1706,2023-09-03,0.28281,450.8406193259806
1707,2023-09-04,0.30241,482.0858940291001
1708,2023-09-05,0.31011,494.3608233767541
1709,2023-09-06,0.30241,482.0858940291001
1710,2023-09-07,0.34441,549.0400541072132
1711,2023-09-08,0.41302,658.4144570348166
1712,2023-09-09,0.30381,484.3176993650372
1713,2023-09-10,0.39411,628.2691435329805
1714,2023-09-11,0.37871,603.7192848376723
1715,2023-09-12,0.40392,643.9077223512254
1716,2023-09-13,0.43542,694.1233424098102
1717,2023-09-14,0.40462,645.0236250191939
1718,2023-09-15,0.32201,513.3311687322196
1719,2023-09-16,0.40042,638.3282090113827
1720,2023-09-17,0.35981,573.5899128025213
1721,2023-09-18,0.34791,554.6195674470559
1722,2023-09-19,0.34581,551.2718594431503
1723,2023-09-20,0.38571,614.8783115173578
