,date,앤더슨벨,앤더슨벨_absolute
777,2021-02-16,4.81849,2203.6352791385475
778,2021-02-17,4.06959,1861.1415807917922
779,2021-02-18,4.03372,1844.737189071004
780,2021-02-19,4.14807,1897.0327617855874
781,2021-02-20,3.8947,1781.1593095888757
782,2021-02-21,4.1391,1892.9305205328565
783,2021-02-22,6.40597,2929.6359417790973
784,2021-02-23,5.14809,2354.3709220482697
785,2021-02-24,4.86557,2225.1663291027157
786,2021-02-25,4.2826,1958.557233996282
787,2021-02-26,4.04493,1849.863847314384
788,2021-02-27,4.31848,1974.9661990072068
789,2021-02-28,7.80959,3571.5520919639994
790,2021-03-01,5.89923,2697.889037385674
791,2021-03-02,4.51131,2063.1529527155853
792,2021-03-03,4.08977,1870.370480287903
793,2021-03-04,4.03372,1844.737189071004
794,2021-03-05,3.51801,1608.8880434248492
795,2021-03-06,3.63685,1663.2370234108666
796,2021-03-07,4.55391,2082.6351686984563
797,2021-03-08,4.16601,1905.23724429105
798,2021-03-09,3.8521,1761.6770936060052
799,2021-03-10,4.0539,1853.966088567115
800,2021-03-11,3.65703,1672.4659229069778
801,2021-03-12,3.90591,1786.2859678322557
802,2021-03-13,4.23552,1937.0261840321143
803,2021-03-14,4.14359,1894.9839278042903
804,2021-03-15,4.19964,1920.6172190211892
805,2021-03-16,4.65929,2130.8285001603085
806,2021-03-17,4.12565,1886.779445298828
807,2021-03-18,5.25348,2402.5688268002586
808,2021-03-19,6.41494,2933.7381830318286
809,2021-03-20,36.61965,16747.228415895006
810,2021-03-21,21.93995,10033.775693741354
811,2021-03-22,7.82304,3577.7031671980276
812,2021-03-23,4.86557,2225.1663291027157
813,2021-03-24,4.33866,1984.1950985033177
814,2021-03-25,5.84542,2673.2801631594234
815,2021-03-26,4.92387,2251.8286106003998
816,2021-03-27,4.25345,1945.2260932474398
817,2021-03-28,4.02699,1841.6593648089215
818,2021-03-29,3.86555,1767.8281688400334
819,2021-03-30,3.75568,1717.5814301067473
820,2021-03-31,3.29155,1505.3213149863311
821,2021-04-01,3.45747,1581.2013449365163
822,2021-04-02,2.94625,1347.4056065617956
823,2021-04-03,3.29603,1507.3701489676284
824,2021-04-04,3.666,1676.5681641597089
825,2021-04-05,3.39245,1551.4658124668863
826,2021-04-06,3.76017,1719.6348373781814
827,2021-04-07,3.48886,1595.5569026760072
828,2021-04-08,3.11441,1424.3100535026292
829,2021-04-09,2.92159,1336.1278730843874
830,2021-04-10,2.9171,1334.0744658129533
831,2021-04-11,3.42608,1566.8457871970254
832,2021-04-12,3.05163,1395.5989380236476
833,2021-04-13,3.39469,1552.490229457535
834,2021-04-14,3.20634,1466.352309730453
835,2021-04-15,2.80723,1283.8277270796673
836,2021-04-16,2.48436,1136.169908432028
837,2021-04-17,2.56956,1175.1343403977692
838,2021-04-18,2.93055,1340.2255410469818
839,2021-04-19,2.56732,1174.1099234071205
840,2021-04-20,2.62113,1198.718797633371
841,2021-04-21,3.83865,1755.5260183719768
842,2021-04-22,3.02697,1384.3212045462396
843,2021-04-23,2.72651,1246.9121290952232
844,2021-04-24,2.52023,1152.574300152816
845,2021-04-25,2.80051,1280.7544761077215
846,2021-04-26,2.47763,1133.0920841699453
847,2021-04-27,2.65701,1215.127762644296
848,2021-04-28,2.35655,1077.7186871932793
849,2021-04-29,2.42157,1107.4542196629095
850,2021-04-30,2.30946,1056.1830639389748
851,2021-05-01,2.26686,1036.700847956104
852,2021-05-02,4.26018,1948.3039175095223
853,2021-05-03,4.68396,2142.1108069278534
854,2021-05-04,3.53819,1618.1169429209604
855,2021-05-05,3.42832,1567.870204187674
856,2021-05-06,4.29381,1963.6838922396616
857,2021-05-07,3.6503,1669.3880986448953
858,2021-05-08,5.17724,2367.702062797112
859,2021-05-09,4.39247,2008.8039727295684
860,2021-05-10,3.75568,1717.5814301067473
861,2021-05-11,3.40142,1555.5680537196174
862,2021-05-12,3.19513,1461.2256514870733
863,2021-05-13,3.12787,1430.4657020267946
864,2021-05-14,2.9597,1353.556681795824
865,2021-05-15,3.15702,1443.7968427756368
866,2021-05-16,3.40142,1555.5680537196174
867,2021-05-17,2.76463,1264.3455110967966
868,2021-05-18,2.73548,1251.0143703479544
869,2021-05-19,3.01576,1379.1945463028599
870,2021-05-20,2.72651,1246.9121290952232
871,2021-05-21,2.64579,1209.9965311107792
872,2021-05-22,2.72203,1244.8632951139261
873,2021-05-23,2.84983,1303.3099430625377
874,2021-05-24,4.31624,1973.9417820165581
875,2021-05-25,3.88797,1778.0814853267932
876,2021-05-26,3.21756,1471.48354126397
877,2021-05-27,2.62561,1200.767631614668
878,2021-05-28,2.70633,1237.683229599112
879,2021-05-29,6.14811,2811.7090823109515
880,2021-05-30,5.39025,2465.1177160016014
881,2021-05-31,4.00008,1829.3526410507277
882,2021-06-01,3.63012,1660.1591991487842
883,2021-06-02,3.22428,1474.5567922359155
884,2021-06-03,2.90365,1327.923390578925
885,2021-06-04,2.92159,1336.1278730843874
886,2021-06-05,3.25792,1489.9413402561918
887,2021-06-06,3.45747,1581.2013449365163
888,2021-06-07,2.94625,1347.4056065617956
889,2021-06-08,3.57631,1635.5503249225337
890,2021-06-09,3.65703,1672.4659229069778
891,2021-06-10,3.00903,1376.1167220407772
892,2021-06-11,2.39467,1095.1520691948529
893,2021-06-12,2.55162,1166.929857892307
894,2021-06-13,3.07405,1405.8522545104074
895,2021-06-14,2.6727,1222.3032548689728
896,2021-06-15,2.70409,1236.6588126084634
897,2021-06-16,2.58301,1181.2854156317974
898,2021-06-17,2.28704,1045.9297474522152
899,2021-06-18,2.26014,1033.6275969841583
900,2021-06-19,2.19511,1003.8874912243914
901,2021-06-20,2.56059,1171.032099145038
902,2021-06-21,2.60543,1191.5387321185572
903,2021-06-22,2.38121,1088.9964206706875
904,2021-06-23,2.15924,987.4830995036034
905,2021-06-24,2.16596,990.5563504755493
906,2021-06-25,2.3274,1064.3875464444372
907,2021-06-26,2.22202,1016.1942149825851
908,2021-06-27,2.62786,1201.7966218954537
909,2021-06-28,2.56956,1175.1343403977692
910,2021-06-29,2.42606,1109.5076269343435
911,2021-06-30,2.43278,1112.5808779062895
912,2021-07-01,2.3274,1064.3875464444372
913,2021-07-02,2.09197,956.7185767531877
914,2021-07-03,2.05385,939.2851947516144
915,2021-07-04,2.22426,1017.2186319732336
916,2021-07-05,2.28928,1046.9541644428639
917,2021-07-06,2.4709,1130.0142599078627
918,2021-07-07,2.07403,948.5140942477254
919,2021-07-08,2.26238,1034.652013974807
920,2021-07-09,1.82515,834.6940493224477
921,2021-07-10,1.98659,908.5252452913356
922,2021-07-11,2.51799,1151.5498831621674
923,2021-07-12,2.89019,1321.7677420547598
924,2021-07-13,2.30274,1053.109812967029
925,2021-07-14,1.91035,873.6584812881888
926,2021-07-15,1.99556,912.6274865440668
927,2021-07-16,2.33189,1066.4409537158713
928,2021-07-17,3.32294,1519.676872725822
929,2021-07-18,4.65481,2128.779666179011
930,2021-07-19,6.45978,2954.2448160053477
931,2021-07-20,3.9373,1800.6415255717463
932,2021-07-21,3.42608,1566.8457871970254
933,2021-07-22,3.09872,1417.1345612779523
