,date,마뗑킴,마뗑킴_absolute
959,2021-08-17,3.5652,1294.0921495377768
960,2021-08-18,3.57111,1296.2373544642237
961,2021-08-19,3.36156,1220.1751391787864
962,2021-08-20,3.38222,1227.6742819504261
963,2021-08-21,3.09004,1121.6191253667992
964,2021-08-22,3.19039,1158.0440516559597
965,2021-08-23,3.98429,1446.2129503202818
966,2021-08-24,3.55045,1288.7382116925837
967,2021-08-25,6.3129,2291.4490998589226
968,2021-08-26,3.89871,1415.1492214530533
969,2021-08-27,4.08759,1483.708664178481
970,2021-08-28,4.14957,1506.2060924934008
971,2021-08-29,3.66555,1330.5170758269376
972,2021-08-30,4.59522,1667.9676111856231
973,2021-08-31,4.31484,1566.1956048781503
974,2021-09-01,4.40929,1600.4789560292338
975,2021-09-02,4.16433,1511.5636601269634
976,2021-09-03,4.33845,1574.7655352188285
977,2021-09-04,4.21745,1530.8450959463978
978,2021-09-05,3.37927,1226.6034943813877
979,2021-09-06,5.74919,2086.8342996749384
980,2021-09-07,4.70442,1707.6049001818994
981,2021-09-08,5.98235,2171.4664453010546
982,2021-09-09,4.27057,1550.126531765832
983,2021-09-10,4.37682,1588.6930331930698
984,2021-09-11,3.47962,1263.0284206705485
985,2021-09-12,4.08464,1482.6378766094426
986,2021-09-13,4.57161,1659.3976808449443
987,2021-09-14,4.07874,1480.4963014713653
988,2021-09-15,6.08269,2207.8877418018456
989,2021-09-16,9.47672,3439.8488038167957
990,2021-09-17,5.67836,2061.124508652903
991,2021-09-18,3.72163,1350.87292900378
992,2021-09-19,4.23811,1538.3442387180373
993,2021-09-20,3.47962,1263.0284206705485
994,2021-09-21,3.61538,1312.306427576542
995,2021-09-22,3.65079,1325.159508193375
996,2021-09-23,6.13582,2227.172807409649
997,2021-09-24,4.06693,1476.2095214068413
998,2021-09-25,3.64784,1324.0887206243362
999,2021-09-26,3.92822,1425.860726931809
1000,2021-09-27,4.58637,1664.755248478507
1001,2021-09-28,4.48307,1627.2595346203077
1002,2021-09-29,6.83233,2479.991197142219
1003,2021-09-30,4.50373,1634.7586773919477
1004,2021-10-01,3.91051,1419.4323717292077
1005,2021-10-02,3.85739,1400.1509359097736
1006,2021-10-03,3.85148,1398.0057309833269
1007,2021-10-04,3.86919,1404.4340861859282
1008,2021-10-05,4.15842,1509.4184552005165
1009,2021-10-06,4.96709,1802.948551286771
1010,2021-10-07,3.91051,1419.4323717292077
1011,2021-10-08,3.57406,1297.3081420332621
1012,2021-10-09,3.57701,1298.3789296023008
1013,2021-10-10,3.67736,1334.8038558914616
1014,2021-10-11,3.73933,1357.2976544180115
1015,2021-10-12,4.44765,1614.4028242151053
1016,2021-10-13,3.90756,1418.3615841601693
1017,2021-10-14,4.17908,1516.9175979721565
1018,2021-10-15,3.53864,1284.4514316280597
1019,2021-10-16,3.64489,1323.0179330552978
1020,2021-10-17,3.98725,1447.28736767769
1021,2021-10-18,3.74819,1360.513646913497
1022,2021-10-19,4.03742,1465.4980159280856
1023,2021-10-20,5.19434,1885.4354919864402
1024,2021-10-21,4.48897,1629.401109758385
1025,2021-10-22,4.21155,1528.7035208083205
1026,2021-10-23,3.46781,1258.7416406060242
1027,2021-10-24,3.60947,1310.1612226500952
1028,2021-10-25,4.02561,1461.2112358635618
1029,2021-10-26,3.91346,1420.5031592982464
1030,2021-10-27,4.04332,1467.6395910661627
1031,2021-10-28,5.07334,1841.515052714009
1032,2021-10-29,8.60018,3121.683334065914
1033,2021-10-30,4.16728,1512.634447696002
1034,2021-10-31,3.86034,1401.2217234788122
1035,2021-11-01,4.56866,1658.326893275906
1036,2021-11-02,4.64539,1686.1782594360184
1037,2021-11-03,4.36206,1583.335465559507
1038,2021-11-04,4.45651,1617.6188167105906
1039,2021-11-05,3.62423,1315.5187902836578
