,date,칼하트,칼하트_absolute
546,2020-06-30,2.26903,2870.1581712721995
547,2020-07-01,2.4601,3111.8478456198195
548,2020-07-02,2.44534,3093.1775175025277
549,2020-07-03,2.24197,2835.9292363904988
550,2020-07-04,2.43222,3076.581670287158
551,2020-07-05,2.78565,3523.6449539249825
552,2020-07-06,2.40352,3040.2782545035357
553,2020-07-07,2.85372,3609.748560628507
554,2020-07-08,2.80123,3543.3525224932346
555,2020-07-09,2.34284,2963.522461132449
556,2020-07-10,2.497,3158.523665913048
557,2020-07-11,4.72422,5975.795223460047
558,2020-07-12,17.78246,22493.52052388952
559,2020-07-13,5.57787,7055.600480731442
560,2020-07-14,3.96732,5018.371690128215
561,2020-07-15,3.19485,4041.2532375019227
562,2020-07-16,2.94966,3731.1056933909017
563,2020-07-17,2.5421,3215.5718907158825
564,2020-07-18,2.78401,3521.5704730230614
565,2020-07-19,2.90456,3674.0574685880665
566,2020-07-20,2.5585,3236.3166997350954
567,2020-07-21,2.47896,3135.704375991914
568,2020-07-22,2.38958,3022.645166837205
569,2020-07-23,2.31085,2923.057434271192
570,2020-07-24,2.35842,2983.230029700701
571,2020-07-25,2.61181,3303.749978321329
572,2020-07-26,2.9595,3743.552578802429
573,2020-07-27,2.73891,3464.5222482202266
574,2020-07-28,3.19731,4044.364958854804
575,2020-07-29,2.56998,3250.838066048544
576,2020-07-30,2.31823,2932.3925983298373
577,2020-07-31,2.33627,2955.2118882509712
578,2020-08-01,2.42812,3071.3954680323545
579,2020-08-02,3.04561,3852.4754754270875
580,2020-08-03,2.64051,3340.0533941049507
581,2020-08-04,2.90292,3671.982987686145
582,2020-08-05,2.64297,3343.1651154578326
583,2020-08-06,2.64051,3340.0533941049507
584,2020-08-07,2.24689,2842.1526790962625
585,2020-08-08,2.57655,3259.1486389300217
586,2020-08-09,2.93982,3718.6588079793737
587,2020-08-10,2.77171,3506.011866258652
588,2020-08-11,2.72661,3448.963641455817
589,2020-08-12,2.60033,3289.2286120078797
590,2020-08-13,2.4232,3065.1720253265908
591,2020-08-14,2.16407,2737.391393549239
592,2020-08-15,2.37728,3007.0865600727952
593,2020-08-16,2.67577,3384.654733496258
594,2020-08-17,2.89718,3664.722304529421
595,2020-08-18,2.57573,3258.111398479061
596,2020-08-19,2.80287,3545.4270033951557
597,2020-08-20,2.61509,3307.898940125171
598,2020-08-21,2.59623,3284.0424097530763
599,2020-08-22,2.82256,3570.3334234920035
600,2020-08-23,3.13745,3968.646405934678
601,2020-08-24,3.12597,3954.1250396212295
602,2020-08-25,2.9923,3785.0421968408546
603,2020-08-26,2.83322,3583.8175493544913
604,2020-08-27,2.74055,3466.5967291221477
605,2020-08-28,2.57081,3251.8879557732967
606,2020-08-29,2.95376,3736.2918956457042
607,2020-08-30,3.19157,4037.10427569808
608,2020-08-31,3.05709,3866.9968417405366
609,2020-09-01,3.46956,4388.741437847527
610,2020-09-02,3.3892,4287.091873653385
611,2020-09-03,3.42282,4329.618732142771
612,2020-09-04,3.31376,4191.665752165006
613,2020-09-05,3.71803,4703.037943762391
614,2020-09-06,4.49379,5684.318007466317
615,2020-09-07,4.76604,6028.6944864590405
616,2020-09-08,3.94928,4995.552400207081
617,2020-09-09,3.85744,4879.3814696994905
618,2020-09-10,3.67293,4645.989718959556
619,2020-09-11,3.69589,4675.032451586453
620,2020-09-12,3.90418,4938.504175404247
621,2020-09-13,4.56349,5772.483445797971
622,2020-09-14,4.09689,5182.268330653787
623,2020-09-15,3.91074,4946.802099011931
624,2020-09-16,4.18545,5294.290299357536
625,2020-09-17,4.16905,5273.545490338323
626,2020-09-18,3.83284,4848.264256170672
