,date,브룩스브라더스,브룩스브라더스_absolute
336,2019-12-03,10.78468,1264.616337678963
337,2019-12-04,9.76076,1144.55102647119
338,2019-12-05,9.32057,1092.9341527500503
339,2019-12-06,9.52153,1116.4988110635065
340,2019-12-07,9.27272,1087.3232406267477
341,2019-12-08,11.92344,1398.147837982662
342,2019-12-09,10.81339,1267.9828849529445
343,2019-12-10,10.39234,1218.6103760811259
344,2019-12-11,9.49282,1113.1322637895248
345,2019-12-12,9.24401,1083.9566933527663
346,2019-12-13,8.622,1011.0195261674912
347,2019-12-14,8.35406,979.6007634858261
348,2019-12-15,10.09569,1183.8250661254788
349,2019-12-16,8.70813,1021.1191679894358
350,2019-12-17,8.75598,1026.7300801127383
351,2019-12-18,8.88038,1041.3172790289104
352,2019-12-19,8.83253,1035.7063669056079
353,2019-12-20,10.53588,1235.4419398466189
354,2019-12-21,9.57894,1123.2307330070548
355,2019-12-22,10.93779,1282.5700838691166
356,2019-12-23,10.44019,1224.2212882044282
357,2019-12-24,8.75598,1026.7300801127383
358,2019-12-25,10.82296,1269.105067377605
359,2019-12-26,9.77033,1145.6732088958506
360,2019-12-27,11.0622,1297.1584553897032
361,2019-12-28,10.97607,1287.0588135677588
362,2019-12-29,12.50717,1466.596275469295
363,2019-12-30,9.0909,1066.0029471626126
364,2019-12-31,8.22009,963.8913821449935
365,2020-01-01,9.74162,1142.3066616218691
366,2020-01-02,8.48803,995.3101448266586
367,2020-01-03,7.85645,921.2507952167231
368,2020-01-04,9.66507,1133.3303748289995
369,2020-01-05,11.38755,1335.309140014917
370,2020-01-06,9.03349,1059.271025219064
371,2020-01-07,14.9665,1754.9783969364134
372,2020-01-08,11.0622,1297.1584553897032
373,2020-01-09,8.0287,941.4489062561978
374,2020-01-10,7.59808,890.9542149597183
375,2020-01-11,11.1866,1311.7456543058754
376,2020-01-12,12.87081,1509.2368623975653
377,2020-01-13,9.73205,1141.1844791972085
378,2020-01-14,8.50717,997.5545096759796
379,2020-01-15,8.77511,1028.9732723576449
380,2020-01-16,8.19138,960.5248348710119
381,2020-01-17,8.8421,1036.8285493302685
382,2020-01-18,8.66985,1016.6304382907938
383,2020-01-19,11.69377,1371.2166323952245
384,2020-01-20,7.94258,931.3504370386677
385,2020-01-21,8.36363,980.7229459104866
