,date,헨리코튼,헨리코튼_absolute
472,2020-04-17,8.2488,967.2579294189748
473,2020-04-18,11.26315,1320.7219410987448
474,2020-04-19,13.38755,1569.8300229115746
475,2020-04-20,9.36842,1098.5450648733529
476,2020-04-21,8.99521,1054.782295520422
477,2020-04-22,10.2488,1201.7788123156324
478,2020-04-23,8.53588,1000.9210569499612
479,2020-04-24,8.76555,1027.8522625373987
480,2020-04-25,11.98086,1404.880932530625
481,2020-04-26,15.54066,1822.3046519983861
482,2020-04-27,10.21052,1197.2900826169905
483,2020-04-28,8.82296,1034.5841844809474
484,2020-04-29,8.39234,984.0894931844681
485,2020-04-30,10.35406,1214.1216463824837
486,2020-05-01,11.52153,1351.0196939601642
487,2020-05-02,11.22488,1316.2343840045173
488,2020-05-03,12.61244,1478.9402821405604
489,2020-05-04,9.82775,1152.4063034438136
490,2020-05-05,11.45454,1343.1644169875406
491,2020-05-06,9.42583,1105.2769868169014
492,2020-05-07,10.92822,1281.4479014444562
493,2020-05-08,9.08133,1064.880764737952
494,2020-05-09,11.57894,1357.7516159037125
495,2020-05-10,10.10526,1184.9472485501394
496,2020-05-11,7.84688,920.1286127920625
497,2020-05-12,7.63636,895.4429446583604
498,2020-05-13,7.93301,930.2282546140071
499,2020-05-14,7.82775,917.8854205471561
500,2020-05-15,7.62679,894.3207622336998
501,2020-05-16,8.88038,1041.3172790289104
502,2020-05-17,9.42583,1105.2769868169014
503,2020-05-18,8.86124,1039.0729141795894
504,2020-05-19,7.92344,929.1060721893466
505,2020-05-20,7.40669,868.5117390709228
506,2020-05-21,7.21531,846.0704357865415
507,2020-05-22,6.83253,801.1854840089502
508,2020-05-23,7.52153,881.9779281668488
509,2020-05-24,9.17703,1076.102588984557
510,2020-05-25,9.02392,1058.1488427944037
511,2020-05-26,8.0287,941.4489062561978
512,2020-05-27,6.88995,807.9185785569132
513,2020-05-28,6.93779,813.5283180758013
514,2020-05-29,6.07655,712.5389354828426
515,2020-05-30,6.13397,719.2720300308056
516,2020-05-31,7.80861,915.641055697835
517,2020-06-01,6.64114,778.7430081201545
518,2020-06-02,6.8421,802.3076664336107
