,date,타미힐피거,타미힐피거_absolute
1063,2021-11-29,9.32019,8034.48649059802
1064,2021-11-30,8.33228,7182.856904835639
1065,2021-12-01,8.59219,7406.912786075328
1066,2021-12-02,8.09382,6977.292034532779
1067,2021-12-03,7.28002,6275.75428626277
1068,2021-12-04,8.03199,6923.991372237948
1069,2021-12-05,9.1814,7914.842322396503
1070,2021-12-06,7.89951,6809.786750843488
1071,2021-12-07,7.46549,6435.639032111429
1072,2021-12-08,6.89394,5942.93333043568
1073,2021-12-09,6.91917,5964.682897145993
1074,2021-12-10,6.58103,5673.188704223872
1075,2021-12-11,7.40493,6383.433175592343
1076,2021-12-12,8.83948,7620.0895737009
1077,2021-12-13,7.50208,6467.181507178029
1078,2021-12-14,6.91917,5964.682897145993
1079,2021-12-15,6.76398,5830.901079556876
1080,2021-12-16,6.68449,5762.376582616616
1081,2021-12-17,7.01127,6044.077867182448
1082,2021-12-18,8.01307,6907.681352334694
1083,2021-12-19,9.12589,7866.989827426648
1084,2021-12-20,7.42637,6401.915566011254
1085,2021-12-21,7.0037,6037.552135117563
1086,2021-12-22,6.58103,5673.188704223872
1087,2021-12-23,6.53309,5631.861941318902
1088,2021-12-24,6.42837,5541.58787766833
1089,2021-12-25,7.63329,6580.291322796741
1090,2021-12-26,8.6149,7426.4899822699845
1091,2021-12-27,6.78291,5847.21971997805
1092,2021-12-28,6.3022,5432.822803080929
1093,2021-12-29,5.98551,5159.8196210956385
1094,2021-12-30,5.71803,4929.238007791064
1095,2021-12-31,5.22975,4508.315358829058
1096,2022-01-01,6.4107,5526.355422504985
1097,2022-01-02,8.04461,6934.870465852064
1098,2022-01-03,6.57599,5668.843963192561
1099,2022-01-04,6.06247,5226.163127002324
1100,2022-01-05,7.02011,6051.698405023081
1101,2022-01-06,6.03598,5203.327375034183
1102,2022-01-07,5.99939,5171.784899967582
1103,2022-01-08,7.02894,6059.310322345795
1104,2022-01-09,8.06227,6950.09430049749
1105,2022-01-10,6.32743,5454.572369791242
1106,2022-01-11,6.30472,5434.995173596584
1107,2022-01-12,6.15206,5303.394347041042
1108,2022-01-13,5.9363,5117.398052414922
1109,2022-01-14,5.58429,4813.947201138777
1110,2022-01-15,6.98604,6022.328300472136
1111,2022-01-16,8.15816,7032.7564468253495
1112,2022-01-17,8.35499,7202.434101030297
1113,2022-01-18,6.2858,5418.68515369333
1114,2022-01-19,5.9792,5154.38007428858
1115,2022-01-20,5.63602,4858.541140335149
1116,2022-01-21,5.45812,4705.182126551376
1117,2022-01-22,7.23586,6237.686079131283
1118,2022-01-23,8.26541,7125.211501509495
1119,2022-01-24,6.59491,5685.153983095815
1120,2022-01-25,6.13313,5287.075706619869
1121,2022-01-26,6.12304,5278.377604039328
1122,2022-01-27,5.55275,4786.758087621406
1123,2022-01-28,6.02336,5192.448281420067
1124,2022-01-29,8.16699,7040.368364148062
1125,2022-01-30,7.52479,6486.758703372687
1126,2022-01-31,6.78795,5851.564461009361
1127,2022-02-01,7.19296,6200.704057257624
1128,2022-02-02,8.76883,7559.185614601272
1129,2022-02-03,7.40366,6382.338369816596
1130,2022-02-04,7.10086,6121.309087221168
1131,2022-02-05,8.249,7111.065231603978
1132,2022-02-06,8.8357,7616.831017927416
1133,2022-02-07,6.54318,5640.560043899444
1134,2022-02-08,6.40313,5519.829690440099
1135,2022-02-09,6.37916,5499.166308987614
1136,2022-02-10,6.23028,5370.824038205555
1137,2022-02-11,6.68828,5765.643758908019
1138,2022-02-12,8.17709,7049.075087246522
1139,2022-02-13,9.38832,8093.218079181992
1140,2022-02-14,7.50082,6466.095321920202
1141,2022-02-15,6.39052,5508.959217343902
1142,2022-02-16,6.31103,5440.434720403642
1143,2022-02-17,6.13313,5287.075706619869
1144,2022-02-18,5.97542,5151.121518515097
1145,2022-02-19,7.83012,6749.968977001689
1146,2022-02-20,8.65653,7462.377198367896
1147,2022-02-21,7.23964,6240.944634904766
1148,2022-02-22,6.22145,5363.212120882842
1149,2022-02-23,6.09654,5255.533231553269
1150,2022-02-24,5.80761,5006.460607311865
1151,2022-02-25,6.00191,5173.957270483237
1152,2022-02-26,7.49703,6462.828145628799
1153,2022-02-27,9.06785,7816.956341423218
1154,2022-02-28,7.31787,6308.382946587198
1155,2022-03-01,10.18698,8781.704363322231
1156,2022-03-02,8.06227,6950.09430049749
1157,2022-03-03,8.13293,7011.006880115036
1158,2022-03-04,8.03452,6926.172363271523
1159,2022-03-05,9.64697,8316.187775163851
1160,2022-03-06,11.30737,9747.538570479071
1161,2022-03-07,8.33985,7189.382636900525
1162,2022-03-08,7.83138,6751.055162259517
1163,2022-03-09,8.92149,7690.786441156815
1164,2022-03-10,7.40745,6385.605546107999
1165,2022-03-11,8.22503,7090.401850151492
1166,2022-03-12,10.74591,9263.530971383863
1167,2022-03-13,12.46183,10742.742882186858
1168,2022-03-14,12.6208,10879.783255549457
1169,2022-03-15,8.82686,7609.210480086784
1170,2022-03-16,9.00476,7762.5694938705565
1171,2022-03-17,7.73928,6671.66019222306
1172,2022-03-18,7.54624,6505.249714309516
1173,2022-03-19,9.20285,7933.333333333332
1174,2022-03-20,10.13525,8737.110424125858
1175,2022-03-21,7.64213,6587.911860637374
1176,2022-03-22,7.5803,6534.611198342542
1177,2022-03-23,11.94075,10293.544934449652
1178,2022-03-24,7.21062,6215.927891903051
1179,2022-03-25,6.51038,5612.284745124245
1180,2022-03-26,8.67925,7481.963015080472
1181,2022-03-27,10.6639,9192.83410392795
1182,2022-03-28,7.92349,6830.458752813892
1183,2022-03-29,8.00423,6900.06081449406
1184,2022-03-30,7.73044,6664.039654382428
1185,2022-03-31,6.98983,6025.5954767635385
1186,2022-04-01,7.39357,6373.6402672360555
1187,2022-04-02,8.99341,7752.785206032189
1188,2022-04-03,11.16732,9626.808217019727
1189,2022-04-04,9.02243,7777.801949033904
1190,2022-04-05,7.82003,6741.270874421148
1191,2022-04-06,7.75189,6682.530665319257
1192,2022-04-07,7.20053,6207.2297893225095
1193,2022-04-08,6.95071,5991.872010663363
1194,2022-04-09,9.40977,8111.709090118821
1195,2022-04-10,11.35784,9791.046324417615
1196,2022-04-11,9.61417,8287.912476388654
1197,2022-04-12,16.05011,13836.02608612187
1198,2022-04-13,9.45267,8148.691111992479
1199,2022-04-14,8.09129,6975.111043499206
1200,2022-04-15,7.23081,6233.332717582052
1201,2022-04-16,8.89373,7666.855883412927
1202,2022-04-17,10.61722,9152.593526280807
1203,2022-04-18,8.10769,6989.248692886804
1204,2022-04-19,8.35373,7201.347915772469
1205,2022-04-20,8.3676,7213.304574126492
1206,2022-04-21,9.12967,7870.248383200132
1207,2022-04-22,8.6641,7468.902930432781
1208,2022-04-23,9.63435,8305.308681549735
1209,2022-04-24,11.06134,9535.447968111326
1210,2022-04-25,8.89373,7666.855883412927
1211,2022-04-26,9.21168,7940.945250656046
1212,2022-04-27,8.74233,7536.341242115214
1213,2022-04-28,9.30126,8018.167850176846
1214,2022-04-29,7.95881,6860.906422104746
1215,2022-04-30,9.40599,8108.4505343453375
1216,2022-05-01,10.58568,9125.404412763437
1217,2022-05-02,8.43574,7272.044783228383
1218,2022-05-03,7.60932,6559.627941344257
1219,2022-05-04,8.09003,6974.024858241378
1220,2022-05-05,9.0136,7770.19003171119
1221,2022-05-06,7.92727,6833.717308587376
1222,2022-05-07,8.33732,7187.20164586695
1223,2022-05-08,9.1814,7914.842322396503
1224,2022-05-09,7.91213,6820.665844457604
1225,2022-05-10,7.4125,6389.958907657228
1226,2022-05-11,11.92434,10279.398664544135
1227,2022-05-12,7.40366,6382.338369816596
1228,2022-05-13,7.45413,6425.846123755141
1229,2022-05-14,7.80741,6730.391780807032
1230,2022-05-15,8.93285,7700.579349513103
1231,2022-05-16,8.61616,7427.576167527813
1232,2022-05-17,7.13366,6149.584385996366
1233,2022-05-18,7.0138,6046.258858216023
1234,2022-05-19,6.36402,5486.114844857842
1235,2022-05-20,6.32996,5456.753360824816
1236,2022-05-21,7.38726,6368.200720428998
1237,2022-05-22,8.11526,6995.774424951689
1238,2022-05-23,6.94188,5984.260093340649
1239,2022-05-24,7.08445,6107.1628173156505
1240,2022-05-25,7.09455,6115.86954041411
1241,2022-05-26,6.97973,6016.888753665078
1242,2022-05-27,6.10411,5262.058963618154
1243,2022-05-28,7.10716,6126.740013510307
1244,2022-05-29,7.95503,6857.647866331263
1245,2022-05-30,6.38673,5505.6920410525
1246,2022-05-31,6.02841,5196.801642969297
1247,2022-06-01,7.251,6250.737543261054
1248,2022-06-02,6.69837,5774.3418614885595
1249,2022-06-03,6.16341,5313.178634879411
1250,2022-06-04,6.98856,6024.500670987791
1251,2022-06-05,7.76956,6697.763120482604
1252,2022-06-06,7.40114,6380.165999300941
1253,2022-06-07,6.05995,5223.990756486667
1254,2022-06-08,6.55075,5647.0857759643295
1255,2022-06-09,6.26182,5398.013151722926
1256,2022-06-10,5.56284,4795.456190201948
1257,2022-06-11,6.2593,5395.84078120727
1258,2022-06-12,7.32039,6310.555317102853
1259,2022-06-13,5.93504,5116.311867157094
1260,2022-06-14,5.69406,4908.57462633858
1261,2022-06-15,5.34204,4605.1151545445155
1262,2022-06-16,5.33321,4597.503237221802
1263,2022-06-17,5.42153,4673.639651484775
1264,2022-06-18,6.29589,5427.383256273871
1265,2022-06-19,7.0466,6074.534156991221
1266,2022-06-20,5.91233,5096.734670962437
1267,2022-06-21,5.84168,5035.83071186281
1268,2022-06-22,7.82507,6745.615615452459
1269,2022-06-23,5.94387,5123.923784479808
1270,2022-06-24,5.39125,4647.536723225233
1271,2022-06-25,6.04733,5213.111662872551
1272,2022-06-26,6.92926,5973.380999726533
1273,2022-06-27,5.79247,4993.409143182093
1274,2022-06-28,5.60448,4831.352026817778
1275,2022-06-29,5.30041,4569.227938446604
