,date,포터리,포터리_absolute
444,2020-03-20,0.48401,175.68538687809362
445,2020-03-21,0.48106,174.614599309055
446,2020-03-22,0.80866,293.5264662978847
447,2020-03-23,0.79685,289.23968623336066
448,2020-03-24,0.49582,179.97216694261766
449,2020-03-25,0.47811,173.5438117400164
450,2020-03-26,0.4545,164.97388139933793
451,2020-03-27,0.43974,159.61631376577526
452,2020-03-28,0.30693,111.40909442882021
453,2020-03-29,0.51353,186.40052214521896
454,2020-03-30,0.39842,144.61802822249552
455,2020-03-31,0.3453,125.33659240306135
456,2020-04-01,0.51943,188.54209728329613
457,2020-04-02,0.49877,181.04295451165626
458,2020-04-03,0.42499,154.26237592058223
459,2020-04-04,1.15101,417.7922711319075
460,2020-04-05,1.78555,648.116862337927
461,2020-04-06,1.23365,447.7888422184669
462,2020-04-07,0.8913,323.5230373844442
463,2020-04-08,0.73488,266.74588770681066
464,2020-04-09,0.66404,241.0324668964056
465,2020-04-10,0.59026,214.2518883053316
466,2020-04-11,0.667,242.10688425381386
467,2020-04-12,0.64043,232.46253655572716
468,2020-04-13,0.75258,273.1706131210423
469,2020-04-14,0.58731,213.18110073629296
470,2020-04-15,0.61977,224.9633937840873
471,2020-04-16,0.58141,211.03952559821576
472,2020-04-17,0.54599,198.18281519301323
473,2020-04-18,0.48106,174.614599309055
474,2020-04-19,0.62273,226.0378111414955
475,2020-04-20,0.64634,234.607741482174
476,2020-04-21,0.48401,175.68538687809362
477,2020-04-22,0.52828,191.75445999041196
478,2020-04-23,0.48401,175.68538687809362
479,2020-04-24,0.55485,201.39880768849866
480,2020-04-25,0.47516,172.4730241709778
481,2020-04-26,0.5696,206.7527455336917
482,2020-04-27,0.5578,202.46959525753726
483,2020-04-28,0.53419,193.89966491685882
484,2020-04-29,0.48992,177.83059180454046
485,2020-04-30,0.51943,188.54209728329613
486,2020-05-01,0.42499,154.26237592058223
487,2020-05-02,0.44269,160.68710133481386
488,2020-05-03,0.34235,124.26580483402275
489,2020-05-04,0.42794,155.33316348962083
490,2020-05-05,0.788,286.02732352624486
491,2020-05-06,0.61682,223.8926062150487
492,2020-05-07,0.49287,178.90137937357906
493,2020-05-08,0.62273,226.0378111414955
494,2020-05-09,0.47221,171.4022366019392
495,2020-05-10,0.56665,205.6819579646531
496,2020-05-11,0.46926,170.3314490329006
497,2020-05-12,0.38662,140.3348779463411
498,2020-05-13,0.56665,205.6819579646531
499,2020-05-14,0.46335,168.18624410645373
500,2020-05-15,0.40728,147.83402071798096
501,2020-05-16,0.40433,146.76323314894236
502,2020-05-17,0.53123,192.82524755945056
503,2020-05-18,0.39842,144.61802822249552
504,2020-05-19,0.39842,144.61802822249552
505,2020-05-20,0.46631,169.26066146386196
506,2020-05-21,0.42499,154.26237592058223
507,2020-05-22,0.38957,141.40566551537972
508,2020-05-23,0.31284,113.55429935526706
509,2020-05-24,0.42794,155.33316348962083
510,2020-05-25,0.57255,207.82353310273032
511,2020-05-26,0.41023,148.90480828701956
512,2020-05-27,0.41023,148.90480828701956
513,2020-05-28,0.41023,148.90480828701956
514,2020-05-29,0.43679,158.54552619673666
515,2020-05-30,0.42204,153.19158835154363
516,2020-05-31,0.4545,164.97388139933793
517,2020-06-01,0.43679,158.54552619673666
518,2020-06-02,0.35415,128.5489551101772
519,2020-06-03,0.32759,118.90823720046009
520,2020-06-04,0.34235,124.26580483402275
521,2020-06-05,0.35711,129.6233724675854
522,2020-06-06,0.28923,104.98436901458857
523,2020-06-07,0.37777,137.12251523922527
524,2020-06-08,0.40728,147.83402071798096
525,2020-06-09,0.28923,104.98436901458857
526,2020-06-10,0.30988,112.47988199785883
527,2020-06-11,0.24791,89.98608347130883
528,2020-06-12,0.30693,111.40909442882021
529,2020-06-13,0.2302,83.55772826870756
530,2020-06-14,0.3335,121.05344212690693
531,2020-06-15,0.25381,92.12765860938605
532,2020-06-16,0.26266,95.34002131650188
533,2020-06-17,0.29218,106.05515658362718
534,2020-06-18,0.28332,102.83916408814174
535,2020-06-19,0.33645,122.12422969594554
536,2020-06-20,0.26561,96.41080888554048
537,2020-06-21,0.29808,108.1967317217044
538,2020-06-22,0.25086,91.05687104034745
539,2020-06-23,0.29218,106.05515658362718
540,2020-06-24,0.3394,123.19501726498413
541,2020-06-25,0.24496,88.91529590227023
542,2020-06-26,0.36891,133.90652274373983
543,2020-06-27,0.29218,106.05515658362718
544,2020-06-28,0.33054,119.9790247694987
545,2020-06-29,0.48106,174.614599309055
546,2020-06-30,0.4545,164.97388139933793
547,2020-07-01,0.41613,151.0463834250968
548,2020-07-02,0.30693,111.40909442882021
549,2020-07-03,0.31579,114.62508692430566
550,2020-07-04,0.31284,113.55429935526706
551,2020-07-05,0.3512,127.47816754113857
552,2020-07-06,0.26266,95.34002131650188
553,2020-07-07,0.42204,153.19158835154363
554,2020-07-08,0.3453,125.33659240306135
555,2020-07-09,0.31284,113.55429935526706
