,date,질스튜어트,질스튜어트_absolute
474,2020-04-19,40.55502,4755.4995481458045
475,2020-04-20,33.05263,3875.765984828277
476,2020-04-21,29.70334,3483.026760889804
477,2020-04-22,31.48325,3691.7397932280987
478,2020-04-23,31.311,3671.5416821886242
479,2020-04-24,32.10526,3764.6769604133738
480,2020-04-25,35.59808,4174.246575512926
481,2020-04-26,40.78468,4782.429581128828
482,2020-04-27,34.00956,3987.9760190634265
483,2020-04-28,34.35406,4028.3722411423755
484,2020-04-29,31.15789,3653.58793599847
485,2020-04-30,33.55023,3934.1147804929656
486,2020-05-01,36.51674,4281.969052653847
487,2020-05-02,37.62679,4412.134005683565
488,2020-05-03,40.04784,4696.027397452041
489,2020-05-04,37.40669,4386.324982520788
490,2020-05-05,41.66507,4885.664501175523
491,2020-05-06,36.1244,4235.96309105601
492,2020-05-07,32.04784,3757.9438658654108
493,2020-05-08,31.35885,3677.152594311927
494,2020-05-09,33.85645,3970.022272873273
495,2020-05-10,34.70813,4069.890645645985
496,2020-05-11,32.98564,3867.910707855653
497,2020-05-12,30.23923,3545.8654588575487
498,2020-05-13,28.27751,3315.833305659533
499,2020-05-14,28.8421,3382.037378296845
500,2020-05-15,29.75119,3488.6376730131065
501,2020-05-16,34.32535,4025.0056938683942
502,2020-05-17,34.5933,4056.425629154474
503,2020-05-18,36.03827,4225.863449234065
504,2020-05-19,31.21531,3660.3210305464336
505,2020-05-20,32.90909,3858.9344210627837
506,2020-05-21,36.41148,4269.626218586996
507,2020-05-22,31.73205,3720.914191060443
508,2020-05-23,31.58851,3704.08262729495
509,2020-05-24,37.05263,4344.807750621592
510,2020-05-25,31.61722,3707.4491745689315
511,2020-05-26,30.99521,3634.5120073836565
512,2020-05-27,27.04306,3171.0811537136437
513,2020-05-28,26.18181,3070.0905985162703
514,2020-05-29,30.36363,3560.452657773721
515,2020-05-30,33.68421,3949.8253344382124
516,2020-05-31,39.02392,4575.962086244268
517,2020-06-01,34.25837,4017.151589500185
518,2020-06-02,33.46411,3924.0163112754353
519,2020-06-03,31.36842,3678.2747767365872
520,2020-06-04,29.13875,3416.822688252492
521,2020-06-05,26.2488,3077.9458754888938
522,2020-06-06,33.60765,3940.8478750409286
523,2020-06-07,38.38277,4500.780554209673
524,2020-06-08,32.27751,3784.8750714528483
525,2020-06-09,29.7799,3492.004220287088
526,2020-06-10,28.54545,3347.252068341198
527,2020-06-11,28.42105,3332.664869425026
528,2020-06-12,28.16267,3302.367116563607
529,2020-06-13,29.22488,3426.922330074436
530,2020-06-14,32.3732,3796.0957230950385
531,2020-06-15,28.19138,3305.733663837588
532,2020-06-16,28.44019,3334.9092342743475
533,2020-06-17,28.45933,3337.1535991236683
534,2020-06-18,26.78468,3140.7834008522245
535,2020-06-19,27.1866,3187.9127174791365
536,2020-06-20,30.51674,3578.4064039638743
537,2020-06-21,33.88516,3973.388820147254
