,date,메종 키츠네,메종 키츠네_absolute
350,2019-12-17,2.62985,3326.5692682424624
351,2019-12-18,2.71349,3432.367794240447
352,2019-12-19,2.48962,3149.188501854402
353,2019-12-20,2.55522,3232.1677379312523
354,2019-12-21,2.73645,3461.4105268673447
355,2019-12-22,3.30638,4182.330588106361
356,2019-12-23,3.22437,4078.5938937365054
357,2019-12-24,2.75941,3490.453259494242
358,2019-12-25,3.12761,3956.1995205231506
359,2019-12-26,3.16943,4009.098783522143
360,2019-12-27,3.02428,3825.494574428319
361,2019-12-28,2.9636,3748.7387810572322
362,2019-12-29,3.29162,4163.660259989069
363,2019-12-30,2.77007,3503.937385356731
364,2019-12-31,2.49782,3159.560906364008
365,2020-01-01,2.78647,3524.6821943759433
366,2020-01-02,2.95786,3741.4780979005077
367,2020-01-03,2.90456,3674.0574685880665
368,2020-01-04,3.06939,3882.5554485049456
369,2020-01-05,3.18419,4027.7691116394344
370,2020-01-06,2.9636,3748.7387810572322
371,2020-01-07,3.01444,3813.047689016791
372,2020-01-08,2.88488,3649.1636977650114
373,2020-01-09,2.8242,3572.407904393924
374,2020-01-10,2.82092,3568.258942590082
375,2020-01-11,3.00624,3802.675284507185
376,2020-01-12,3.66227,4632.5055930970675
377,2020-01-13,3.31376,4191.665752165006
378,2020-01-14,3.0087,3805.787005860067
379,2020-01-15,3.16205,3999.763619463497
380,2020-01-16,2.80452,3547.5141335708695
381,2020-01-17,2.74383,3470.7456909259904
382,2020-01-18,2.9431,3722.807769783216
383,2020-01-19,3.52533,4459.286437786642
384,2020-01-20,3.02018,3820.3083721735156
385,2020-01-21,2.9308,3707.249163018807
386,2020-01-22,2.86684,3626.3444078438774
387,2020-01-23,2.8447,3598.3389156679405
388,2020-01-24,3.08497,3902.263017073198
389,2020-01-25,3.51713,4448.914033277036
390,2020-01-26,3.92796,4968.584148482105
391,2020-01-27,4.20185,5315.035108376748
392,2020-01-28,3.65161,4619.021467234579
393,2020-01-29,3.52287,4456.17471643376
394,2020-01-30,3.42938,4337.916655750456
395,2020-01-31,3.16205,3999.763619463497
396,2020-02-01,3.54665,4486.254689511618
397,2020-02-02,4.05507,5129.369067654795
398,2020-02-03,3.57125,4517.371903040437
399,2020-02-04,3.35804,4247.676736516881
400,2020-02-05,3.3769,4271.533266888975
401,2020-02-06,3.80824,4817.147042641853
402,2020-02-07,3.52943,4464.472640041445
403,2020-02-08,4.01735,5081.656006910606
404,2020-02-09,4.55365,5760.036560386444
405,2020-02-10,4.265,5394.915272374508
406,2020-02-11,4.21088,5326.457402611108
407,2020-02-12,4.12231,5214.422784633566
408,2020-02-13,4.03211,5100.326335027898
409,2020-02-14,4.00259,5062.985678793314
410,2020-02-15,4.12887,5222.7207082412515
411,2020-02-16,4.26664,5396.98975327643
412,2020-02-17,3.77462,4774.620184152466
413,2020-02-18,3.55485,4496.627094021224
414,2020-02-19,3.37526,4269.4587859870535
415,2020-02-20,3.15467,3990.4284554048513
416,2020-02-21,2.89226,3658.4988618236566
417,2020-02-22,3.20633,4055.7746038153714
418,2020-02-23,3.8845,4913.610404581191
419,2020-02-24,4.42162,5593.028198507989
420,2020-02-25,4.34208,5492.415874764809
421,2020-02-26,3.52041,4453.062995080878
422,2020-02-27,3.87466,4901.163519169663
423,2020-02-28,3.86646,4890.791114660057
424,2020-02-29,4.34208,5492.415874764809
425,2020-03-01,5.07847,6423.895747548833
426,2020-03-02,4.3429,5493.45311521577
